Id,state,phone_number,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
1,FL,559-455-4876,194,yes,yes,11,191.57166440004457,36,24.683640946105072,184.49922986507852,21,11.853053158582483,262.625237994592,76,11.334384543569332,12.265465386530693,3,3.984924942730869,6,False
2,IL,939-226-4177,186,no,yes,46,275.99908203600415,75,44.115552578967055,133.38274188984036,133,36.185033296357496,349.7855748777874,110,37.99954074280177,3.989173317683188,10,6.338724460520791,9,True
3,TX,703-898-7024,224,no,yes,12,49.822885945276134,146,3.933502723231056,298.47075093570174,87,29.82943244333196,346.885004713257,67,15.224384956735772,5.25019281825198,8,8.602872648145489,4,False
4,IL,150-128-4368,190,yes,no,49,214.57853428424187,101,40.63197523023066,125.25558898971063,105,10.249129748022314,268.18778970294403,34,20.322071316489996,14.911686764457158,6,9.836918584171766,5,True
5,IL,825-878-2792,125,yes,no,46,68.14734170898348,70,19.71140540757231,241.1243649449868,59,14.557990702007837,266.6676766970396,32,19.99186734020144,19.553354353981206,15,5.03819370328546,0,False
6,CA,913-712-4476,32,yes,yes,10,41.667536264197906,12,43.02171323784693,73.8343111390489,126,25.822572967350872,109.23804390364981,138,13.721814713021542,11.897110029260459,4,4.557577028614559,0,True
7,TX,445-721-4030,118,no,no,18,46.878064691909564,112,40.50574442412111,249.79727799517119,26,22.08198584517668,296.7326820940076,106,22.673855921523447,17.011689396444947,5,0.7573964529645871,1,False
8,TX,924-100-2854,78,no,yes,34,296.9325146267012,64,18.740539875012242,322.2559077120108,138,39.37106468224446,159.6326806550786,137,24.72060228452568,0.17767607657655837,18,0.12738943337215036,3,False
9,TX,666-470-6031,104,yes,no,38,67.7511947609797,10,35.30607369543757,224.74660948477066,73,37.251422842075854,337.83805115738323,90,37.72264029484676,0.7326327969923851,0,6.088020924984962,8,False
10,IL,760-530-8112,190,yes,no,25,44.448436611933424,110,9.662372325125126,209.15372161103272,141,29.57957616670482,56.05686038621936,13,38.723291570097786,11.934486746517267,15,0.6546435214764601,6,False
